,18-Dec-2025
The Nifty witnessed an intraday movement of about 176.05 points.The closing index was 0.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 87865.32
, Traded Quantity (in Lakhs), 43797.69
, Number of Trades, 29913405
, Total Market Capitalisation (Rs. Crores), 46350554.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,96IIFL28,N5,       995.25,                  3763509.94,3775
,96IIFL28A,NF,       994.55,                   534857.33,537
,96SFIL24A,NB,       998.95,                    49947.50,50
,970CAGL28,ND,      1028.00,                   102800.00,100
,971SCL29T,N1,       978.10,                    97810.00,100
,975IIFL28,Y0,      1068.45,                    37395.75,35
,975ISF28,N0,     99120.00,                  1090321.40,11
,975SCL28A,N0,     99590.00,                   398360.00,4
,975SCL35,N0,     90711.00,                    90711.00,1
,97SFL28,YS,      1077.00,                   134722.50,125
,985ECL28,NK,      1015.00,                    10150.00,10
,990SCL26I,AV,       680.00,                     2720.00,4
,990SCL27B,N1,      1005.30,                    63333.90,63
,990SCL28,N1,      1010.20,                    20204.00,20
,99AEL29,N7,      1064.06,                   644432.00,606
,9IIFL28,Y0,      1016.00,                  1110165.75,1094
,9PCHFL31A,NA,      1034.19,                  1303864.79,1260
,9SCL26BA,NA,      1016.00,                     5080.00,5
,A2ZINFRA,EQ,        13.97,                  3954131.55,281515
,AAATECH,BE,        99.88,                  1069750.68,10664
,AADHARHFC,EQ,       480.45,                 87806325.05,182952
,AAKASH,EQ,         8.78,                   774652.61,89671
,AARADHYA,ST,       129.60,                   155520.00,1200
,AAREYDRUGS,EQ,        66.34,                  5592388.04,83763
,AARON,EQ,       177.16,                   714565.37,4022
,AARTECH,EQ,        47.23,                  5715340.79,118671
,AARTIDRUGS,EQ,       380.00,                 45468932.95,119814
