MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ESG,MIRAEAMC - MAESGETF,        44.20,        44.20,        44.20,        43.97,        44.05,                   242426.14,5503,77,        44.97,        36.00,NIFTY100 ESG SECTOR LEADERS
N,EQ,ESILVER,EDELAMC - ESILVER,       192.80,       196.70,       196.70,       188.57,       193.14,                 74373035.77,385598,557,       196.70,        86.27,EDELWEISS SILVER ETF
N,EQ,EVIETF,ICICIPRAMC - EVIETF,        31.18,        31.25,        31.25,        30.94,        31.00,                  2059048.41,66430,374,        33.75,        23.56,NIFTY EV & NEW AGE AUTOMOTIVE ETF
N,EQ,EVINDIA,MIRAEAMC - EVINDIA,        31.14,        31.14,        31.29,        30.92,        31.00,                  2856864.10,92102,1403,        32.30,        23.83,NIFTY EV AND NEW AGE AUTOMOTIVE TOTAL RETURN INDEX
N,EQ,FINIETF,ICICIPRAMC-ICICIFIN,        32.27,        32.28,        32.49,        31.75,        31.81,                 12998235.00,406743,1956,        33.66,        24.13,ICICI PRUDENTIAL NIFTY FINANCIAL SERVICES EX-BANK ETF
N,EQ,FLEXIADD,DSPAMC - FLEXIADD,        10.74,        10.77,        10.77,        10.67,        10.67,                  1972995.82,184795,306,        11.90,        10.48,NIFTY500 FLEXICAP QUALITY 30 TRI
N,EQ,FMCGIETF,ICICIPRAMC - ICICIFMCG,        58.72,        58.79,        59.20,        58.52,        58.74,                 86225258.12,1463384,5934,        62.30,        53.00,NIFTY FMCG INDEX
N,EQ,GILT5YBEES,RELCAPAMC - NETFGILT5Y,        63.37,        63.49,        63.49,        63.33,        63.38,                  8853257.97,139719,425,        71.00,        57.60,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,GOLD1,KOTAK GOLD ETF,       112.05,       110.42,       111.07,       109.95,       110.44,                464661754.03,4208175,8912,       114.00,        63.51,GOLD
N,EQ,GOLD360,360ONEAMC - GOLD360,       130.75,       130.50,       130.70,       128.80,       129.30,                  3687204.75,28485,296,       139.90,        78.20,COMMODITY-GOLD
N,EQ,GOLDADD,DSPAMC - DSPGOLD,       130.20,       129.67,       129.67,       128.12,       128.49,                 29404581.75,228801,710,       131.04,        73.40,DSP GOLD ETF
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,       110.95,       109.46,       110.05,       109.20,       109.56,               3982891430.68,36341576,106095,       111.09,        62.80,GOLD
N,EQ,GOLDBND,BANDHANAMC - GOLDBND,       134.52,       134.00,       134.00,       130.60,       132.81,                   454604.50,3432,119,       135.95,       127.96,COMMODITY - GOLD
N,EQ,GOLDCASE,ZERODHAAMC - GOLDCASE,        21.04,        21.67,        21.67,        20.54,        20.82,                173580954.91,8338476,11823,        21.67,        11.25,ZERODHA GOLD ETF
N,EQ,GOLDETF,MIRAEAMC - MAGOLDETF,       130.28,       114.55,       129.99,       114.55,       128.69,                308446204.84,2396361,5523,       131.62,        73.20,MIRAE ASSET GOLD ETF
N,EQ,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,       114.67,       113.37,       113.80,       112.97,       113.22,                619391268.87,5464214,24906,       116.21,        63.75,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,       112.65,       112.55,       112.80,       111.05,       111.35,                135454261.55,1216640,3918,       113.90,        63.60,GOLD
N,EQ,GROWWCAPM,GROWWAMC - GROWWCAPM,         9.69,         9.75,         9.75,         9.56,         9.58,                  2147137.12,223518,1177,        11.78,         9.41,NIFTY CAPITAL MARKETS INDEX
N,EQ,GROWWDEFNC,GROWWAMC - GROWWDEFNC,        75.57,        75.85,        75.85,        74.33,        74.54,                 11891706.08,159231,2660,        93.89,        49.83,NIFTY INDIA DEFENCE INDEX- TOTAL RETURN INDEX
N,EQ,GROWWEV,GROWWAMC - GROWWEV,        31.12,        31.18,        31.19,        30.80,        30.84,                  3014528.51,97514,1399,        32.22,        23.00,NIFTY EV AND NEW AGE AUTOMOTIVE INDEX
N,EQ,GROWWGOLD,GROWWAMC - GROWWGOLD,       131.05,       130.87,       130.87,       128.24,       129.38,                 61632369.08,475443,4297,       131.27,        74.20,COMMODITY
N,EQ,GROWWLIQID,GROWWAMC - GROWWLIQID,       107.03,       107.05,       107.05,       107.04,       107.04,                 14217194.85,132814,237,       107.55,        99.60,NIFTY 1D RATE INDEX
N,EQ,GROWWLOVOL,GROWWAMC - GROWWLOVOL,        10.74,        10.87,        10.87,        10.63,        10.69,                   255943.67,23837,141,        11.50,         9.00,NIFTY 500 LOW VOLATILITY 50 INDEX   TRI
